contract_id	object_kind	class_id	class_size	object_key
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_FRA40_PERIOD_M5_1774224000_1774828800_14575658576911331190::COMPRESSION::6
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393::COMPRESSION::2
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421::COMPRESSION::3
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421::COMPRESSION::7
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557::COMPRESSION::4
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_JPN225_PERIOD_M5_1777852800_1778457600_731365208587059786::COMPRESSION::7
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_US30_PERIOD_M5_1771200000_1771804800_15393471454727288637::COMPRESSION::1
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_US30_PERIOD_M5_1777852800_1778457600_6821376586980274840::COMPRESSION::4
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_US30_PERIOD_M5_1781481600_1782086400_9939459563788191184::COMPRESSION::10
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_US30_PERIOD_M5_1783900800_1784505600_318110170989838139::COMPRESSION::3
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_US30_PERIOD_M5_1783900800_1784505600_318110170989838139::COMPRESSION::5
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142::COMPRESSION::4
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_US500_PERIOD_M5_1768176000_1768780800_17180753283749702142::COMPRESSION::7
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315::COMPRESSION::11
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315::COMPRESSION::12
EVENT_SEQUENCE_CANONICAL_V1::TYPED_EDIT_DURATION_AWARE_V1::OBSERVED	COMPRESSION	Q::COMPRESSION::000006	31	RG3_US500_PERIOD_M5_1774224000_1774828800_1890775757493427196::COMPRESSION::11
