object_key	representation_id	distance_contract	comparison_mode	rank	neighbor_key	distance	comparable_support_points	comparable_support_bars	comparable_support_seconds	object_censored	neighbor_censored
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	10	RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755::COMPRESSION::6	0	3	8	2400	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	1	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::COMPRESSION::15	0	3	9	2700	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	2	RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::COMPRESSION::7	0	3	9	2700	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	3	RG3_DE40_PERIOD_M5_1783900800_1784505600_9564959796063117251::COMPRESSION::2	0	3	9	2700	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	4	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::COMPRESSION::6	0	3	9	2700	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	5	RG3_FRA40_PERIOD_M5_1774224000_1774828800_14575658576911331190::COMPRESSION::2	0	3	9	2700	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	6	RG3_FRA40_PERIOD_M5_1774224000_1774828800_14575658576911331190::COMPRESSION::6	0	3	9	2700	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	7	RG3_FRA40_PERIOD_M5_1781481600_1782086400_317235149503321393::COMPRESSION::2	0	3	9	2700	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	8	RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421::COMPRESSION::3	0	3	9	2700	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	9	RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421::COMPRESSION::7	0	3	9	2700	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	10	RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557::COMPRESSION::4	0	3	9	2700	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	1	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::8	0	3	14	4200	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	2	RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070::COMPRESSION::9	0	3	14	4200	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	3	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917::COMPRESSION::8	0	3	14	4200	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	4	RG3_US30_PERIOD_M5_1781481600_1782086400_9939459563788191184::COMPRESSION::4	0	3	14	4200	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	5	RG3_US500_PERIOD_M5_1781481600_1782086400_15824288097372850924::COMPRESSION::3	0	3	14	4200	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	6	RG3_US500_PERIOD_M5_1781481600_1782086400_15824288097372850924::COMPRESSION::8	0	3	14	4200	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	7	RG3_USTEC_PERIOD_M5_1768176000_1768780800_7128405155079592654::COMPRESSION::9	0	3	14	4200	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	8	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::12	0.003924558585712094	3	14	4200	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	9	RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::COMPRESSION::10	0.003924558585712094	3	14	4200	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	10	RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::COMPRESSION::5	0.003924558585712094	3	14	4200	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::8	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	1	RG3_US30_PERIOD_M5_1777852800_1778457600_6821376586980274840::COMPRESSION::6	0.0016004269171556017	5	21	6300	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::8	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	2	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::4	0.0017397226359136652	5	20	6000	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::8	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	3	RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315::COMPRESSION::9	0.008106525348552458	5	17	5100	0	0
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::8	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	4	RG3_JPN225_PERIOD_M5_1771200000_1771804800_16175888908372551973::COMPRESSION::1	0.009698633378618206	5	21	6300	0	0
