object_key	representation_id	availability	byte_offset	byte_length	dimensions
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::7	SUMMARY_RAW_V1	AVAILABLE	23264	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::7	SUMMARY_CANONICAL_V1	AVAILABLE	23304	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::7	TRAJECTORY_RAW_U21_V1	AVAILABLE	23344	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::7	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	23764	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::8	SUMMARY_RAW_V1	AVAILABLE	24184	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::8	SUMMARY_CANONICAL_V1	AVAILABLE	24224	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::8	TRAJECTORY_RAW_U21_V1	AVAILABLE	24264	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::8	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	24684	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::9	SUMMARY_RAW_V1	AVAILABLE	25104	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::9	SUMMARY_CANONICAL_V1	AVAILABLE	25144	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::9	TRAJECTORY_RAW_U21_V1	AVAILABLE	25184	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::COMPRESSION::9	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	25604	420	105
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::1	SUMMARY_RAW_V1	AVAILABLE	26024	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::1	SUMMARY_CANONICAL_V1	AVAILABLE	26064	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::1	TRAJECTORY_RAW_U21_V1	AVAILABLE	26104	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::1	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	26608	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::10	SUMMARY_RAW_V1	AVAILABLE	27112	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::10	SUMMARY_CANONICAL_V1	AVAILABLE	27152	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::10	TRAJECTORY_RAW_U21_V1	AVAILABLE	27192	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::10	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	27696	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::11	SUMMARY_RAW_V1	AVAILABLE	28200	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::11	SUMMARY_CANONICAL_V1	AVAILABLE	28240	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::11	TRAJECTORY_RAW_U21_V1	AVAILABLE	28280	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::11	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	28784	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::12	SUMMARY_RAW_V1	CENSORED_SUFFIX	29288	0	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::12	SUMMARY_CANONICAL_V1	CENSORED_SUFFIX	29288	0	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::12	TRAJECTORY_RAW_U21_V1	CENSORED_SUFFIX	29288	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::12	TRAJECTORY_CANONICAL_U21_V1	CENSORED_SUFFIX	29288	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::2	SUMMARY_RAW_V1	AVAILABLE	29288	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::2	SUMMARY_CANONICAL_V1	AVAILABLE	29328	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::2	TRAJECTORY_RAW_U21_V1	AVAILABLE	29368	504	126
