left_object_key	right_object_key	representation_id	distance_contract	comparison_mode	status	reason	distance	comparable_support_points	comparable_support_bars	comparable_support_seconds	observed_fraction_left	observed_fraction_right	left_censored	right_censored
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::11	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::7	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	24	10800	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::12	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::8	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	1	164	49200	1	1	1	1
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::2	RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177::EXPANSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	34	13800	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::3	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::6	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	21	6300	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::4	RG3_US30_PERIOD_M5_1781481600_1782086400_9939459563788191184::EXPANSION::8	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	130	42600	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::5	RG3_US30_PERIOD_M5_1774224000_1774828800_14068181511802716677::EXPANSION::2	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	39	11700	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::6	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	21	6300	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::7	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917::EXPANSION::8	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0.0005235558560973353	2	166	57000	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::8	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::3	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	21	6300	1	1	0	0
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::9	RG3_US30_PERIOD_M5_1768176000_1768780800_14299449350608203917::EXPANSION::1	EVENT_SEQUENCE_CANONICAL_V1	TYPED_EDIT_DURATION_AWARE_V1	OBSERVED	AVAILABLE	COMPARABLE_DOMAIN_ADMITTED	0	2	24	7200	1	1	0	0
