range_object_id	session_id	k	configured_start	configured_end	instrument_inclusive_end_bar	actual_start_bar	actual_end_bar	freeze_commit_time	high	low	midpoint	width	source_coverage	instrument_authority
OBSOPEN_US30_20240102:R11	OBSOPEN_US30_20240102	11	1704213000	1704213660	1704213600	1704213000	1704213600	1704213660	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R12	OBSOPEN_US30_20240102	12	1704213000	1704213720	1704213660	1704213000	1704213660	1704213720	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R13	OBSOPEN_US30_20240102	13	1704213000	1704213780	1704213720	1704213000	1704213720	1704213780	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R14	OBSOPEN_US30_20240102	14	1704213000	1704213840	1704213780	1704213000	1704213780	1704213840	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R15	OBSOPEN_US30_20240102	15	1704213000	1704213900	1704213840	1704213000	1704213840	1704213900	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R16	OBSOPEN_US30_20240102	16	1704213000	1704213960	1704213900	1704213000	1704213900	1704213960	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R17	OBSOPEN_US30_20240102	17	1704213000	1704214020	1704213960	1704213000	1704213960	1704214020	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R18	OBSOPEN_US30_20240102	18	1704213000	1704214080	1704214020	1704213000	1704214020	1704214080	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R19	OBSOPEN_US30_20240102	19	1704213000	1704214140	1704214080	1704213000	1704214080	1704214140	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R20	OBSOPEN_US30_20240102	20	1704213000	1704214200	1704214140	1704213000	1704214140	1704214200	37631.800000000003	37485.800000000003	37558.800000000003	146.000000000000	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R21	OBSOPEN_US30_20240102	21	1704213000	1704214260	1704214200	1704213000	1704214200	1704214260	37633.199999999997	37485.800000000003	37559.500000000000	147.399999999994	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R22	OBSOPEN_US30_20240102	22	1704213000	1704214320	1704214260	1704213000	1704214260	1704214320	37633.199999999997	37485.800000000003	37559.500000000000	147.399999999994	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R23	OBSOPEN_US30_20240102	23	1704213000	1704214380	1704214320	1704213000	1704214320	1704214380	37633.199999999997	37485.800000000003	37559.500000000000	147.399999999994	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R24	OBSOPEN_US30_20240102	24	1704213000	1704214440	1704214380	1704213000	1704214380	1704214440	37633.199999999997	37485.800000000003	37559.500000000000	147.399999999994	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R25	OBSOPEN_US30_20240102	25	1704213000	1704214500	1704214440	1704213000	1704214440	1704214500	37633.199999999997	37485.800000000003	37559.500000000000	147.399999999994	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R26	OBSOPEN_US30_20240102	26	1704213000	1704214560	1704214500	1704213000	1704214500	1704214560	37633.199999999997	37485.800000000003	37559.500000000000	147.399999999994	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R27	OBSOPEN_US30_20240102	27	1704213000	1704214620	1704214560	1704213000	1704214560	1704214620	37633.199999999997	37485.800000000003	37559.500000000000	147.399999999994	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R28	OBSOPEN_US30_20240102	28	1704213000	1704214680	1704214620	1704213000	1704214620	1704214680	37633.199999999997	37485.800000000003	37559.500000000000	147.399999999994	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R29	OBSOPEN_US30_20240102	29	1704213000	1704214740	1704214680	1704213000	1704214680	1704214740	37646.699999999997	37485.800000000003	37566.250000000000	160.899999999994	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
OBSOPEN_US30_20240102:R30	OBSOPEN_US30_20240102	30	1704213000	1704214800	1704214740	1704213000	1704214740	1704214800	37656.199999999997	37485.800000000003	37571.000000000000	170.399999999994	COMPLETE	5930c7d4f5b2de4549bfedacbd2c3b9df7da78f68c7d765b9c0669d08a17490f
