target	run_key	episode_id	attempt_id	canonical_instrument	holdout_id	target_censored	target_label	ordinal	direction	node_width_atr	initial_distance_atr	approach_efficiency	corridor_up_atr	corridor_down_atr	family_count	member_count	developing_count	frozen_count	node_revision	node_age_seconds	corridor_up_level_count	corridor_down_level_count	corridor_up_noise_count	corridor_down_noise_count	start_median_sigma	node_from_median_sigma	node_from_cog_sigma	node_width_sigma	feature_cog_distance_atr	feature_cog_velocity_atr	feature_c3_distance_atr	feature_c3_velocity_atr	feature_lattice_width_atr	feature_poc_distance_atr	feature_vah_distance_atr	feature_val_distance_atr	feature_spread_atr	feature_raw_level_count	feature_noise_level_count	feature_active_node_count	feature_population_count	feature_population_count_delta	feature_price_from_median_atr	feature_price_from_median_sigma	feature_price_from_cog_atr	feature_price_from_cog_sigma	feature_cog_median_gap_atr	feature_cog_median_gap_sigma	feature_regional_cog_velocity_atr	feature_regional_cog_velocity_sigma	feature_regional_median_velocity_atr	feature_regional_median_velocity_sigma	feature_regional_sigma_log_change_per_bar	contributor_count	eligibility_latency_seconds	server_hour_sin	server_hour_cos	canonical_instrument	start_region	node_region	contributor_families	contributor_producers
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	4161327817477884277	17056749676249712844	DE40	RECOVERY_A	True	\N	1	-1	0.10839546	0.00020765	1.0	3.85613722	2.20417939	2	2	1	1	3	4	3	2	3	2	-0.00350847	0.0	-0.51987067	0.00699016	8.11596652	0.0	\N	\N	\N	4.03326619	7.56338642	-6.24561331	0.08306165	91	35	11	11	0	-0.05440538	-0.00350847	-8.11596652	-0.52337915	8.06156113	0.51987067	0.0	0.0	0.0	0.0	0.0	2	43	0.0	1.0	DE40	MEDIAN_CORE	MEDIAN_CORE	DAILY_EXTREME|TPO_PROFILE	DAY_SWINGS|VOLKITT
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	3684979364212534982	11848708812602411413	DE40	RECOVERY_A	False	0	1	-1	0.06645703	0.49016112	0.0674438	10.39647291	11.49058255	2	2	1	1	2	398	8	10	6	2	-0.24322695	-0.22114494	-0.66279605	0.00280385	16.23303639	0.0	\N	\N	\N	11.06007067	16.57114144	-4.98687068	0.01620903	94	39	10	10	0	-5.76498525	-0.24322695	-16.23303639	-0.68487806	10.46805114	0.44165111	0.0	0.0	0.0	0.0	0.0	2	359	0.7071067811865476	-0.7071067811865475	DE40	MEDIAN_CORE	MEDIAN_CORE	MID_PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	3684979364212534982	3051829665180232408	DE40	RECOVERY_A	False	1	3	-1	0.06497417	0.02060157	0.33962264	10.16449558	11.23419226	2	2	1	1	5	1239	8	10	6	2	-0.22343589	-0.22114494	-0.66279605	0.00280385	15.4122048	0.0	\N	\N	\N	10.35466388	15.74276568	-5.33422079	0.01584736	94	39	10	10	0	-5.17772812	-0.22343589	-15.4122048	-0.665087	10.23447668	0.44165111	0.0	0.0	0.0	0.0	0.0	2	20	0.7071067811865476	-0.7071067811865475	DE40	MEDIAN_CORE	MEDIAN_CORE	MID_PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	3684979364212534982	18119418327771084820	DE40	RECOVERY_A	False	1	4	-1	0.06445122	0.25246015	0.09670054	10.0826862	11.14377338	2	2	1	1	6	1500	8	10	6	2	-0.23352974	-0.22114494	-0.66279605	0.00280385	15.52018341	0.0	\N	\N	\N	10.50334832	15.84808376	-5.05926368	0.01571981	94	39	10	10	0	-5.36807935	-0.23352974	-15.52018341	-0.67518085	10.15210405	0.44165111	0.0	0.0	0.0	0.0	0.0	2	201	0.7071067811865476	-0.7071067811865475	DE40	MEDIAN_CORE	MEDIAN_CORE	MID_PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	3684979364212534982	12939327736438693745	DE40	RECOVERY_A	False	0	8	-1	0.06286801	0.25085868	0.01654837	9.83500981	10.87003189	2	2	1	1	10	2719	8	10	6	2	-0.2337349	-0.22114494	-0.66279605	0.00280385	15.14353759	0.0	\N	\N	\N	10.24993867	15.46338322	-4.93038518	0.01533366	94	39	10	10	0	-5.24081514	-0.2337349	-15.14353759	-0.67538601	9.90272245	0.44165111	0.0	0.0	0.0	0.0	0.0	2	912	0.7071067811865476	-0.7071067811865475	DE40	MEDIAN_CORE	MEDIAN_CORE	MID_PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	3684979364212534982	9598540520683402566	DE40	RECOVERY_A	False	1	11	-1	0.06029412	0.01911765	0.39267016	9.43235294	10.425	2	2	1	1	15	4265	8	10	6	2	-0.22343589	-0.22114494	-0.65251876	0.00280385	14.08106926	0.0	\N	\N	\N	9.60882353	14.60882353	-4.95	0.01470588	94	39	10	10	0	-4.80477941	-0.22343589	-14.08106926	-0.65480971	9.27628985	0.43137382	0.0	0.0	0.0	0.0	0.0	2	5	0.49999999999999994	-0.8660254037844387	DE40	MEDIAN_CORE	MEDIAN_CORE	MID_PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	16822380183907188825	7902297605655920206	DE40	RECOVERY_A	False	0	3	1	7.32389649	0.225972	0.20264201	8.77882522	3.90969	4	10	1	9	14	4179	6	2	6	2	-0.1769604	-0.37809658	-0.8094704	0.33896923	13.14389771	0.0	\N	\N	\N	8.65037383	13.67416295	-5.97771802	0.01477585	94	39	10	10	0	-3.82347292	-0.1769604	-13.14389771	-0.60833422	9.3204248	0.43137382	0.0	0.0	0.0	0.0	0.0	10	3482	0.49999999999999994	-0.8660254037844387	DE40	MEDIAN_CORE	MEDIAN_CORE	MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	4548256967667056939	16416990564750261550	DE40	RECOVERY_A	True	\N	1	-1	0.00722112	0.05514308	0.06207502	0.19956542	0.05514308	2	2	1	1	1	0	0	0	0	0	0.23439869	0.23871614	-0.26747275	0.00053064	3.69863359	-0.03752258	-0.5830888	-0.83172499	\N	-5.61080804	-1.12058609	-8.56490143	0.07877582	94	31	12	12	1	3.18979448	0.23439869	-3.69863359	-0.2717902	6.88842807	0.5061889	-0.03749673	-0.00243447	-4.2150116	-0.27365903	-0.08726273	2	139	0.0	1.0	DE40	MEDIAN_CORE	MEDIAN_CORE	DAILY_EXTREME|PIVOT	DAY_SWINGS|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	5070255964699216048	10720492877731247653	DE40	RECOVERY_A	False	1	1	1	0.6559072	0.28270674	0.06662413	0.28270674	2.40279392	2	2	1	1	1	0	1	3	1	3	0.41699768	0.37844129	-0.29845336	0.04643569	3.67106205	-0.03752258	-0.61066034	-0.83172499	\N	-5.63837958	-1.14815763	-8.59247297	0.07877582	94	33	11	11	1	5.89012031	0.41699768	-3.67106205	-0.25989696	9.56118236	0.67689465	-0.03749673	-0.00243447	-4.2150116	-0.27365903	-0.08726273	2	1415	0.0	1.0	DE40	MEDIAN_CORE	MEDIAN_CORE	ADAPTIVE_VALUE|PIVOT	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	12592671180203588036	5639164080250864303	DE40	RECOVERY_A	False	0	1	-1	1.87269528	0.00313321	0.01470588	6.03263358	0.21691451	5	8	4	4	1	98	7	0	7	0	0.54965127	0.58842169	-0.22959414	0.1042581	4.82039344	-0.0236169	0.42726133	0.8027042	\N	0.00313321	0.84668964	-0.2137813	0.09640645	97	32	10	10	0	9.8728958	0.54965127	-4.82039344	-0.26836456	14.69328924	0.81801584	-0.02326974	-0.00131353	0.0	0.0	-0.00097835	8	1972	0.49999999999999994	0.8660254037844387	DE40	ABOVE	ABOVE	ADAPTIVE_VALUE|DAILY_EXTREME|MID_PIVOT|PIVOT|TPO_PROFILE	DAY_SWINGS|VOLKITT|WAYNE
