target	split_type	model	rows	positives	negatives	prevalence	log_loss	brier	auc	average_precision	ece_10	run_block_delta_logloss_low	run_block_delta_logloss_high
retest_hold_given_retest_contact	FORWARD_TIME	RIDGE_LOGISTIC	664	410	254	0.6174698795180723	0.4306571953336655	0.1354875136385805	0.8771653543307085	0.9089133919905956	0.06214979895668586	0.16960218469839233	0.31290885841803756
retest_hold_given_retest_contact	GROUPED_RUN	NULL_PREVALENCE	1251	763	488	0.609912070343725	0.6770758960428525	0.2418489284176076	0.4050837397675269	0.5614769172562687	0.11922645777226679	\N	\N
retest_hold_given_retest_contact	GROUPED_RUN	RIDGE_LOGISTIC	1251	763	488	0.609912070343725	0.4574321320622168	0.1449154060939068	0.8678802397782696	0.8981912419165375	0.07266829445089815	0.17557823567117128	0.2687184309236117
retest_hold_given_retest_contact	INSTRUMENT_TRANSFER	NULL_PREVALENCE	1251	763	488	0.609912070343725	0.6771908827731217	0.24186684071971543	0.4119873020647573	0.5386133410420298	0.10112577735083564	\N	\N
retest_hold_given_retest_contact	INSTRUMENT_TRANSFER	RIDGE_LOGISTIC	1251	763	488	0.609912070343725	0.4535044968584218	0.14370738677415332	0.8637791934340288	0.900881099087707	0.05757901775034901	0.16605670403376646	0.27999047274054606
transit_given_episode_acceptance	FORWARD_TIME	NULL_PREVALENCE	136	114	22	0.8382352941176471	0.4546129398109316	0.1383518672971734	0.39274322169059006	0.8030078464873542	0.10206371071666456	\N	\N
transit_given_episode_acceptance	FORWARD_TIME	RIDGE_LOGISTIC	136	114	22	0.8382352941176471	0.4324117645064701	0.13125456969357988	0.5829346092503987	0.8640056237338097	0.08982134314303916	-0.01062818842546161	0.04703635560883044
transit_given_episode_acceptance	GROUPED_RUN	NULL_PREVALENCE	263	227	36	0.8631178707224335	0.40280585801901586	0.1189847126874436	0.40956926089084683	0.8220556587125969	0.06525627856966945	\N	\N
transit_given_episode_acceptance	GROUPED_RUN	RIDGE_LOGISTIC	263	227	36	0.8631178707224335	0.38858274707443424	0.1178980301268471	0.6758443465491923	0.9293622415469937	0.06563178018632027	-0.01386344933033693	0.039407910171780816
transit_given_episode_acceptance	INSTRUMENT_TRANSFER	NULL_PREVALENCE	263	227	36	0.8631178707224335	0.4034101644288036	0.11914557800554955	0.41036465981399894	0.8423580950438418	0.07530034799717768	\N	\N
transit_given_episode_acceptance	INSTRUMENT_TRANSFER	RIDGE_LOGISTIC	263	227	36	0.8631178707224335	0.3962180044408744	0.11897227304560218	0.6357072931962799	0.9074099831451286	0.08442592001784135	-0.026579850741871566	0.033415832147301275
