target	metric	target_state	rows	observed	missing	mean	std	minimum	q05	q25	median	q75	q95	maximum
initial_acceptance_given_initial_contact	eligibility_latency_seconds	POSITIVE	667	667	0	357.61469265367316	800.4482040028007	0.0	2.0	19.0	58.0	261.5	2098.7999999999993	6223.0
rejection_given_initial_contact	target_time_seconds	CENSORED	686	686	0	1632.8673469387754	2796.601262828398	1.0	7.0	46.0	250.0	1417.5	7426.0	14603.0
rejection_given_initial_contact	target_time_seconds	NEGATIVE	1547	1547	0	1085.453781512605	1278.6516708518284	34.0	206.0	403.0	600.0	1144.0	3903.7	12063.0
rejection_given_initial_contact	target_time_seconds	POSITIVE	3504	3504	0	760.8284817351598	2004.6900435447055	3.0	37.150000000000006	100.0	238.0	747.0	3417.7	94223.0
rejection_given_initial_contact	node_width_atr	CENSORED	686	686	0	1.7445550499416909	3.7240563022189153	0.0	0.0	0.0388684475	0.08695263	0.8201414025	10.199869425	23.97863818
rejection_given_initial_contact	node_width_atr	NEGATIVE	1547	1547	0	0.4153308735746606	1.127217478911148	0.0	0.007594486	0.045021065	0.08861975	0.12748191	2.0688170309999916	14.99426904
rejection_given_initial_contact	node_width_atr	POSITIVE	3504	3504	0	4.979361524540525	4.845392770556117	0.0	0.086698141	1.0135785350000002	3.78787879	7.16302005	13.938005510999998	35.49407115
rejection_given_initial_contact	initial_distance_atr	CENSORED	686	686	0	0.17216375797376093	0.16312985985908865	0.00021356	0.0006276025	0.0154988575	0.177648855	0.256858495	0.4876059575	0.49940072
rejection_given_initial_contact	initial_distance_atr	NEGATIVE	1547	1547	0	0.23597565966386555	0.16811615497972	0.0	0.009228841000000002	0.072156185	0.21924829	0.400465245	0.49461521999999997	0.49995622
rejection_given_initial_contact	initial_distance_atr	POSITIVE	3504	3504	0	0.23558468098458907	0.11653013509705903	0.0	0.014750297500000002	0.2012672525	0.222500625	0.2636741475	0.4880910295	0.49986859
rejection_given_initial_contact	approach_efficiency	CENSORED	686	686	0	0.3765780125364431	0.40106141209714163	0.00016855	0.0041223825000000006	0.03551035	0.16666667	0.89714895	1.0	1.0
rejection_given_initial_contact	approach_efficiency	NEGATIVE	1547	1547	0	0.3073279638073691	0.3320347464488767	0.00061312	0.007771394000000001	0.046977125	0.1641791	0.47392075499999997	1.0	1.0
rejection_given_initial_contact	approach_efficiency	POSITIVE	3504	3504	0	0.2641279635616438	0.2894346611625683	0.00016697	0.0063872955	0.0417728675	0.152239725	0.3766414475	0.994332695	1.0
rejection_given_initial_contact	corridor_up_atr	CENSORED	686	663	23	4.106636030889894	4.720415896792081	0.03395586	0.3414257	1.02261494	2.3877203	5.3446311049999995	13.091736863	30.56379007
rejection_given_initial_contact	corridor_up_atr	NEGATIVE	1547	1540	7	3.0113758498766234	4.080769619451917	0.00862366	0.25565095200000004	0.9058365875	1.895326795	3.56496278	9.54226382	65.50884516
rejection_given_initial_contact	corridor_up_atr	POSITIVE	3504	3308	196	3.444666305885731	4.798995177123492	0.0061066	0.2024717625	0.85982594	1.98008767	4.177838585	10.82750937	63.6429468
rejection_given_initial_contact	corridor_down_atr	CENSORED	686	663	23	3.955999393514329	5.146761919761436	0.00697898	0.21820174	1.029861735	2.43708006	4.822490885	12.857908404999998	59.90381566
rejection_given_initial_contact	corridor_down_atr	NEGATIVE	1547	1534	13	2.738151206975228	3.3123815137472823	0.07239819	0.2576948685	0.7100456075	1.620147105	3.4311624575	9.335090465	42.91830182
rejection_given_initial_contact	corridor_down_atr	POSITIVE	3504	3328	176	4.219058064933894	5.316943192781231	0.05525298	0.220923531	1.07115821	2.56363761	5.015468132500001	14.649732047499949	60.2348815
rejection_given_initial_contact	start_median_sigma	CENSORED	686	686	0	-0.04135915301749269	0.7477523614553325	-2.35915522	-1.2990934200000002	-0.48353676	-0.005861955	0.405770885	1.16953822	2.44661076
rejection_given_initial_contact	start_median_sigma	NEGATIVE	1547	1547	0	-0.039413785972850675	0.6159217853578167	-2.39367208	-1.10838087	-0.35540449500000004	-0.00226919	0.304793335	0.8367061659999998	1.94482633
rejection_given_initial_contact	start_median_sigma	POSITIVE	3504	3504	0	-0.0539819471033105	0.7307730756909212	-2.36258308	-1.512479941	-0.4919371175	-0.013261175	0.46382668	1.0614152999999988	2.46373989
rejection_given_initial_contact	node_from_median_sigma	CENSORED	686	686	0	-0.03871435204081634	0.7826267834259641	-2.36174645	-1.3676374175	-0.5045124249999999	0.0	0.440775535	1.23644411	1.99925205
rejection_given_initial_contact	node_from_median_sigma	NEGATIVE	1547	1547	0	-0.03954081425339366	0.6176227465471106	-2.44984014	-1.092118562	-0.35826996	0.0	0.313960255	0.8370389439999983	1.89608045
rejection_given_initial_contact	node_from_median_sigma	POSITIVE	3504	3504	0	-0.055072790513698636	0.8052365493081775	-2.44984014	-1.4906081565	-0.569255	0.0	0.49337454	1.21753006	1.95303146
rejection_given_initial_contact	node_from_cog_sigma	CENSORED	686	686	0	0.39464170807580173	1.263784219739264	-2.26318671	-1.4247725125000001	-0.5640874475	0.19976344000000001	1.3104397625	2.5030172449999997	4.47473796
rejection_given_initial_contact	node_from_cog_sigma	NEGATIVE	1547	1547	0	0.4560919593018745	1.1160500986216941	-2.33523397	-1.088398663	-0.33203709000000003	0.14455916	1.136318975	2.8006433049999973	4.82957946
rejection_given_initial_contact	node_from_cog_sigma	POSITIVE	3504	3504	0	0.3883896708618722	1.1877762026908418	-2.34364806	-1.471527832	-0.49122591	0.198391765	1.319548825	2.332553209999999	4.83495586
rejection_given_initial_contact	node_width_sigma	CENSORED	686	686	0	0.10041044408163265	0.22843163739656808	0.0	0.0	0.0018386925	0.00497877	0.0464401225	0.56562201	1.5442819
rejection_given_initial_contact	node_width_sigma	NEGATIVE	1547	1547	0	0.025220283464770524	0.06495998147119622	0.0	0.0006119140000000001	0.002726035	0.00630716	0.012192555	0.11127544799999965	1.06440635
rejection_given_initial_contact	node_width_sigma	POSITIVE	3504	3504	0	0.26979169508561646	0.2632195538979644	0.0	0.00490151	0.0612836375	0.217725	0.40866174	0.74457173	1.54443961
rejection_given_initial_contact	feature_regional_median_velocity_sigma	CENSORED	686	686	0	0.002682140233236151	0.09494221674259011	-0.83930497	-0.124148035	0.0	0.0	0.0	0.14009983	0.84117096
