target	dimension	value	eligible_count	analyzable_count	positive_count	negative_count	censored_count	rate	wilson_low	wilson_high	run_block_bootstrap_low	run_block_bootstrap_high	run_count	episode_count
initial_acceptance_given_initial_contact	contributor_families	ADAPTIVE_VALUE|MID_PIVOT|PIVOT|SENTINEL	9	9	1	8	0	0.1111111111111111	0.019890887638544907	0.434999705576656	0.1111111111111111	0.1111111111111111	1	2
initial_acceptance_given_initial_contact	contributor_families	ADAPTIVE_VALUE|MID_PIVOT|PIVOT|SENTINEL|TPO_PROFILE	45	45	5	40	0	0.1111111111111111	0.04840471794567186	0.2349909699576858	0.0	0.11363636363636363	2	6
initial_acceptance_given_initial_contact	contributor_families	ADAPTIVE_VALUE|MID_PIVOT|PIVOT|TPO_PROFILE	59	58	10	48	1	0.1724137931034483	0.09644292662938801	0.2890825650932622	0.1111111111111111	0.38812499999999944	6	15
initial_acceptance_given_initial_contact	contributor_families	ADAPTIVE_VALUE|MID_PIVOT|SENTINEL	3	3	1	2	0	0.3333333333333333	0.06149194472039621	0.7923403991979522	0.0	0.5	2	2
initial_acceptance_given_initial_contact	contributor_families	ADAPTIVE_VALUE|MID_PIVOT|TPO_PROFILE	73	72	7	65	1	0.09722222222222222	0.047896319973655774	0.1873504579512686	0.029987998799879987	0.21428571428571427	5	9
initial_acceptance_given_initial_contact	contributor_families	ADAPTIVE_VALUE|PIVOT	64	63	8	55	1	0.12698412698412698	0.06577324856136738	0.23107034478269664	0.05403409090909091	0.20697813716681637	12	18
initial_acceptance_given_initial_contact	contributor_families	ADAPTIVE_VALUE|PIVOT|SENTINEL	13	13	3	10	0	0.23076923076923078	0.08179528718498569	0.5025637594672749	0.0	0.46153846153846156	4	5
initial_acceptance_given_initial_contact	contributor_families	ADAPTIVE_VALUE|PIVOT|SENTINEL|TPO_PROFILE	26	26	4	22	0	0.15384615384615385	0.06150033723578355	0.3353119932821348	0.11764705882352941	0.25	3	6
initial_acceptance_given_initial_contact	contributor_families	ADAPTIVE_VALUE|PIVOT|TPO_PROFILE	89	87	16	71	2	0.1839080459770115	0.11649466965641427	0.2780549036990641	0.08889931331842862	0.3333333333333333	9	21
initial_acceptance_given_initial_contact	contributor_families	ADAPTIVE_VALUE|SENTINEL	13	12	2	10	1	0.16666666666666666	0.04696514218385378	0.4480308622529734	0.0	0.5	3	6
initial_acceptance_given_initial_contact	contributor_families	ADAPTIVE_VALUE|SENTINEL|TPO_PROFILE	23	22	3	19	1	0.13636363636363635	0.04749003714055253	0.33334987166571717	0.09090909090909091	0.2	5	7
initial_acceptance_given_initial_contact	contributor_families	ADAPTIVE_VALUE|TPO_PROFILE	167	163	18	145	4	0.11042944785276074	0.07100212258869046	0.16779618990695888	0.08010160427807486	0.14634146341463414	12	29
