session_id	civil_date	calendar_status	clock_status	server_offset_minutes	source_day_m1_rows	source_day_m5_rows	expected_m1_range	observed_m1_range	missing_m1_range	duplicate_m1_range	expected_m5_horizon	observed_m5_horizon	missing_m5_horizon	duplicate_m5_horizon	decision	partition
OBSOPEN_US30_20250515	2025-05-15	NORMAL_SESSION	QUALIFIED	180	1379	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250516	2025-05-16	NORMAL_SESSION	QUALIFIED	180	1319	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20250517	2025-05-17	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250518	2025-05-18	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250519	2025-05-19	NORMAL_SESSION	QUALIFIED	180	1379	276	30	29	1	0	79	79	0	0	NOT_EVALUABLE_SOURCE_COVERAGE_M1	
OBSOPEN_US30_20250520	2025-05-20	NORMAL_SESSION	QUALIFIED	180	1373	275	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250521	2025-05-21	NORMAL_SESSION	QUALIFIED	180	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250522	2025-05-22	NORMAL_SESSION	QUALIFIED	180	1378	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250523	2025-05-23	NORMAL_SESSION	QUALIFIED	180	1317	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20250524	2025-05-24	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250525	2025-05-25	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250526	2025-05-26	EXCHANGE_CLOSED	NOT_APPLICABLE		1047	210	0	0	0	0	0	0	0	0	EXCHANGE_CLOSED	
OBSOPEN_US30_20250527	2025-05-27	NORMAL_SESSION	QUALIFIED	180	1322	266	30	30	0	0	79	76	3	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20250528	2025-05-28	NORMAL_SESSION	QUALIFIED	180	1378	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250529	2025-05-29	NORMAL_SESSION	QUALIFIED	180	1379	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250530	2025-05-30	NORMAL_SESSION	QUALIFIED	180	1317	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20250531	2025-05-31	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250601	2025-06-01	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250602	2025-06-02	NORMAL_SESSION	QUALIFIED	180	1359	275	30	27	3	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M1	
OBSOPEN_US30_20250603	2025-06-03	NORMAL_SESSION	QUALIFIED	180	1371	276	30	26	4	0	79	79	0	0	NOT_EVALUABLE_SOURCE_COVERAGE_M1	
OBSOPEN_US30_20250604	2025-06-04	NORMAL_SESSION	QUALIFIED	180	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250605	2025-06-05	NORMAL_SESSION	QUALIFIED	180	1376	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250606	2025-06-06	NORMAL_SESSION	QUALIFIED	180	1319	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20250607	2025-06-07	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250608	2025-06-08	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250609	2025-06-09	NORMAL_SESSION	QUALIFIED	180	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250610	2025-06-10	NORMAL_SESSION	QUALIFIED	180	1378	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250611	2025-06-11	NORMAL_SESSION	QUALIFIED	180	1378	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250612	2025-06-12	NORMAL_SESSION	QUALIFIED	180	1374	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250613	2025-06-13	NORMAL_SESSION	QUALIFIED	180	1320	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20250614	2025-06-14	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250615	2025-06-15	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250616	2025-06-16	NORMAL_SESSION	QUALIFIED	180	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250617	2025-06-17	NORMAL_SESSION	QUALIFIED	180	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250618	2025-06-18	NORMAL_SESSION	QUALIFIED	180	1378	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20250619	2025-06-19	EXCHANGE_CLOSED	NOT_APPLICABLE		1140	228	0	0	0	0	0	0	0	0	EXCHANGE_CLOSED	
