session_id	civil_date	partition	server_offset_minutes	confirmation_status
OBSOPEN_US30_20250218	2025-02-18	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250219	2025-02-19	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250220	2025-02-20	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250224	2025-02-24	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250225	2025-02-25	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250226	2025-02-26	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250227	2025-02-27	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250303	2025-03-03	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250304	2025-03-04	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250305	2025-03-05	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250306	2025-03-06	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250310	2025-03-10	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250311	2025-03-11	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250312	2025-03-12	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250313	2025-03-13	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250314	2025-03-14	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250317	2025-03-17	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250318	2025-03-18	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250319	2025-03-19	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250320	2025-03-20	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250321	2025-03-21	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250324	2025-03-24	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250325	2025-03-25	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250326	2025-03-26	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250327	2025-03-27	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250328	2025-03-28	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20250331	2025-03-31	DISCOVERY	180	NOT_APPLICABLE
OBSOPEN_US30_20250401	2025-04-01	DISCOVERY	180	NOT_APPLICABLE
