session_id	civil_date	reason
OBSOPEN_US30_20240915	2024-09-15	NON_SESSION_WEEKEND
OBSOPEN_US30_20240920	2024-09-20	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240921	2024-09-21	NON_SESSION_WEEKEND
OBSOPEN_US30_20240922	2024-09-22	NON_SESSION_WEEKEND
OBSOPEN_US30_20240927	2024-09-27	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240928	2024-09-28	NON_SESSION_WEEKEND
OBSOPEN_US30_20240929	2024-09-29	NON_SESSION_WEEKEND
OBSOPEN_US30_20241004	2024-10-04	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20241005	2024-10-05	NON_SESSION_WEEKEND
OBSOPEN_US30_20241006	2024-10-06	NON_SESSION_WEEKEND
OBSOPEN_US30_20241011	2024-10-11	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20241012	2024-10-12	NON_SESSION_WEEKEND
OBSOPEN_US30_20241013	2024-10-13	NON_SESSION_WEEKEND
OBSOPEN_US30_20241018	2024-10-18	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20241019	2024-10-19	NON_SESSION_WEEKEND
OBSOPEN_US30_20241020	2024-10-20	NON_SESSION_WEEKEND
OBSOPEN_US30_20241025	2024-10-25	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20241026	2024-10-26	NON_SESSION_WEEKEND
OBSOPEN_US30_20241027	2024-10-27	NON_SESSION_WEEKEND
OBSOPEN_US30_20241028	2024-10-28	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241029	2024-10-29	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241030	2024-10-30	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241031	2024-10-31	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241101	2024-11-01	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241102	2024-11-02	NON_SESSION_WEEKEND
OBSOPEN_US30_20241103	2024-11-03	NON_SESSION_WEEKEND
OBSOPEN_US30_20241104	2024-11-04	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241105	2024-11-05	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241106	2024-11-06	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241107	2024-11-07	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241108	2024-11-08	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241109	2024-11-09	NON_SESSION_WEEKEND
OBSOPEN_US30_20241110	2024-11-10	NON_SESSION_WEEKEND
OBSOPEN_US30_20241111	2024-11-11	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241112	2024-11-12	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241113	2024-11-13	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241114	2024-11-14	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241115	2024-11-15	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241116	2024-11-16	NON_SESSION_WEEKEND
OBSOPEN_US30_20241117	2024-11-17	NON_SESSION_WEEKEND
OBSOPEN_US30_20241118	2024-11-18	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241119	2024-11-19	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241120	2024-11-20	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241121	2024-11-21	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241122	2024-11-22	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241123	2024-11-23	NON_SESSION_WEEKEND
OBSOPEN_US30_20241124	2024-11-24	NON_SESSION_WEEKEND
OBSOPEN_US30_20241125	2024-11-25	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241126	2024-11-26	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241127	2024-11-27	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241128	2024-11-28	EXCHANGE_CLOSED
OBSOPEN_US30_20241129	2024-11-29	EARLY_CLOSE_HORIZON_INCOMPLETE
OBSOPEN_US30_20241130	2024-11-30	NON_SESSION_WEEKEND
OBSOPEN_US30_20241201	2024-12-01	NON_SESSION_WEEKEND
OBSOPEN_US30_20241202	2024-12-02	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241203	2024-12-03	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241204	2024-12-04	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241205	2024-12-05	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241206	2024-12-06	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241207	2024-12-07	NON_SESSION_WEEKEND
OBSOPEN_US30_20241208	2024-12-08	NON_SESSION_WEEKEND
OBSOPEN_US30_20241209	2024-12-09	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241210	2024-12-10	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241211	2024-12-11	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241212	2024-12-12	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241213	2024-12-13	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241214	2024-12-14	NON_SESSION_WEEKEND
OBSOPEN_US30_20241215	2024-12-15	NON_SESSION_WEEKEND
OBSOPEN_US30_20241216	2024-12-16	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241217	2024-12-17	NOT_EVALUABLE_CLOCK_TRANSPORT
OBSOPEN_US30_20241218	2024-12-18	NOT_EVALUABLE_CLOCK_TRANSPORT
