unit,stratifier,stratum,metric,rows,count,missing_count,missing_rate,censored_count,censoring_rate,min,p01,p05,p25,median,p75,p95,p99,max,mean,std
episode,resolution,RECLAIM_AFTER_BREAK,node_age_seconds,47,47,0,0.0,0,0.0,0.0,0.0,0.0,10.0,1357.0,17545.5,148915.0999999996,200115.81999999998,216277.0,21905.702127659573,48656.46577075495
episode,resolution,RECLAIM_AFTER_BREAK,start_median_sigma,47,47,0,0.0,0,0.0,-1.56588777,-1.5033322044,-1.023274353,-0.39223063,0.04151154,0.293080175,0.5719427459999997,0.8225968501999996,1.02323419,-0.07472856382978725,0.5408315353714324
episode,resolution,RECLAIM_AFTER_BREAK,nearest_corridor_atr,47,47,0,0.0,0,0.0,0.12847966,0.1577570684,0.21871390200000002,0.471182805,0.83633419,1.652256535,3.823147705999999,8.518029471799993,12.30046948,1.4002684861702126,1.888549058464852
episode,resolution,REJECT_TO_ORIGIN,duration_seconds,13,13,0,0.0,10,0.7692307692307693,480.0,575.88,959.4000000000001,1583.0,7473.0,13296.0,19911.6,20655.12,20841.0,8937.692307692309,6852.897798068291
episode,resolution,REJECT_TO_ORIGIN,duration_bars,13,13,0,0.0,10,0.7692307692307693,1.0,1.3599999999999999,2.8000000000000003,5.0,21.0,37.0,52.799999999999976,60.95999999999998,63.0,23.615384615384617,19.129115947243275
episode,resolution,REJECT_TO_ORIGIN,node_width_atr,13,13,0,0.0,10,0.7692307692307693,0.92675904,0.9337975728,0.961951704,2.45174752,3.62803026,6.06949561,9.179411007999997,9.831829129599997,9.99493366,4.3121608523076915,3.00806416789343
episode,resolution,REJECT_TO_ORIGIN,node_age_seconds,13,13,0,0.0,10,0.7692307692307693,243.0,676.44,2410.2000000000003,19037.0,28562.0,164820.0,336513.39999999985,388349.0799999999,401308.0,102365.38461538461,131810.5316730157
episode,resolution,REJECT_TO_ORIGIN,start_median_sigma,13,13,0,0.0,10,0.7692307692307693,-1.80752326,-1.7624530096,-1.582172008,-0.12876636,0.02079488,0.63065618,0.9768660939999998,1.0292649387999997,1.04236465,-0.05386313769230771,0.8719165806919926
episode,resolution,REJECT_TO_ORIGIN,nearest_corridor_atr,13,13,0,0.0,10,0.7692307692307693,0.23958333,0.24366915120000002,0.260012436,0.63198251,0.64006024,1.86878811,3.551096404,3.5668391368,3.57077482,1.2392526830769233,1.1744230763181007
episode,resolution,RETURN_TO_SOURCE_NODE,duration_seconds,22,22,0,0.0,0,0.0,1769.0,2079.59,3255.0,3648.75,4417.5,7837.25,17244.149999999998,18118.54,18313.0,6749.545454545455,4887.303889401528
episode,resolution,RETURN_TO_SOURCE_NODE,duration_bars,22,22,0,0.0,0,0.0,2.0,2.0,2.0,6.75,11.5,15.0,23.0,33.26999999999999,36.0,12.090909090909092,8.05876683765717
episode,resolution,RETURN_TO_SOURCE_NODE,node_width_atr,22,22,0,0.0,0,0.0,0.0,0.0045239124,0.022391556,0.0562028125,0.102634005,0.845185175,1.9813059999999996,3.077819861799999,3.35808742,0.515107785,0.8326735843050965
episode,resolution,RETURN_TO_SOURCE_NODE,node_age_seconds,22,22,0,0.0,0,0.0,0.0,0.0,0.0,1.75,277.5,2491.5,98150.59999999999,212618.47999999986,242819.0,24690.727272727272,57131.849843091084
episode,resolution,RETURN_TO_SOURCE_NODE,start_median_sigma,22,22,0,0.0,0,0.0,-1.02687582,-1.0041974832,-0.9089677584999999,-0.4503460775,-0.08427949500000001,0.1783848525,1.0329527149999997,1.5240862257999994,1.65099994,-0.029563615454545465,0.6302241167250109
episode,resolution,RETURN_TO_SOURCE_NODE,nearest_corridor_atr,22,22,0,0.0,0,0.0,0.20490072,0.217803414,0.267291832,1.22552981,2.29447838,4.535289355,10.530857364499996,14.705689674199997,15.73901378,3.3509878722727278,3.658232317453652
episode,resolution,TIMEOUT,duration_seconds,400,400,0,0.0,5,0.0125,7203.0,7221.98,7304.65,7905.0,12749.5,20390.0,43729.099999999984,60287.989999999976,132127.0,17256.025,13602.26250859602
