unit,dimension,value,count,total,share,censored_count,censoring_rate,entropy_bits,normalized_entropy
episode,family_count,7,16,1462,0.01094391244870041,1,0.0625,1.9626806641467502,0.6991209585670187
episode,producer_combo,DAY_SWINGS,17,1462,0.011627906976744186,0,0.0,2.454888082610082,0.8744487785715432
episode,producer_combo,DAY_SWINGS+VOLKITT,197,1462,0.1347469220246238,0,0.0,2.454888082610082,0.8744487785715432
episode,producer_combo,DAY_SWINGS+VOLKITT+WAYNE,247,1462,0.1689466484268126,2,0.008097165991902834,2.454888082610082,0.8744487785715432
episode,producer_combo,DAY_SWINGS+WAYNE,396,1462,0.2708618331053352,8,0.020202020202020204,2.454888082610082,0.8744487785715432
episode,producer_combo,VOLKITT,91,1462,0.06224350205198358,1,0.01098901098901099,2.454888082610082,0.8744487785715432
episode,producer_combo,VOLKITT+WAYNE,401,1462,0.27428180574555405,15,0.03740648379052369,2.454888082610082,0.8744487785715432
episode,producer_combo,WAYNE,113,1462,0.07729138166894665,2,0.017699115044247787,2.454888082610082,0.8744487785715432
episode,server_time_bucket,00-03,388,1462,0.265389876880985,0,0.0,2.51297258359083,0.9721504984655512
episode,server_time_bucket,04-07,173,1462,0.11833105335157319,0,0.0,2.51297258359083,0.9721504984655512
episode,server_time_bucket,08-11,244,1462,0.16689466484268126,0,0.0,2.51297258359083,0.9721504984655512
episode,server_time_bucket,12-15,200,1462,0.13679890560875513,2,0.01,2.51297258359083,0.9721504984655512
episode,server_time_bucket,16-19,296,1462,0.2024623803009576,8,0.02702702702702703,2.51297258359083,0.9721504984655512
episode,server_time_bucket,20-23,161,1462,0.11012311901504789,18,0.11180124223602485,2.51297258359083,0.9721504984655512
episode,node_age_bucket,"(12h,24h]",124,1462,0.08481532147742818,5,0.04032258064516129,1.695614494105435,0.6559532270322647
episode,node_age_bucket,"(1d,3d]",133,1462,0.09097127222982217,3,0.022556390977443608,1.695614494105435,0.6559532270322647
episode,node_age_bucket,"(1h,4h]",128,1462,0.08755129958960328,3,0.0234375,1.695614494105435,0.6559532270322647
episode,node_age_bucket,"(4h,12h]",135,1462,0.09233926128590972,9,0.06666666666666667,1.695614494105435,0.6559532270322647
episode,node_age_bucket,<=1h,934,1462,0.6388508891928865,6,0.006423982869379015,1.695614494105435,0.6559532270322647
episode,node_age_bucket,>3d,8,1462,0.005471956224350205,2,0.25,1.695614494105435,0.6559532270322647
episode,node_width_bucket,"(0.10,0.25]",198,1462,0.1354309165526676,1,0.005050505050505051,1.8195220588651844,0.7836254976506714
episode,node_width_bucket,"(0.25,0.50]",22,1462,0.015047879616963064,0,0.0,1.8195220588651844,0.7836254976506714
episode,node_width_bucket,"(0.50,1.00]",120,1462,0.08207934336525308,1,0.008333333333333333,1.8195220588651844,0.7836254976506714
episode,node_width_bucket,<=0.10,664,1462,0.454172366621067,12,0.018072289156626505,1.8195220588651844,0.7836254976506714
episode,node_width_bucket,>1.00,458,1462,0.31326949384404923,14,0.03056768558951965,1.8195220588651844,0.7836254976506714
episode,corridor_bucket,"(0.25,0.50]",187,1462,0.12790697674418605,4,0.0213903743315508,2.1914920179791735,0.943824239348585
episode,corridor_bucket,"(0.50,1.00]",294,1462,0.20109439124487005,9,0.030612244897959183,2.1914920179791735,0.943824239348585
episode,corridor_bucket,"(1.00,2.00]",340,1462,0.23255813953488372,4,0.011764705882352941,2.1914920179791735,0.943824239348585
episode,corridor_bucket,<=0.25,143,1462,0.09781121751025992,4,0.027972027972027972,2.1914920179791735,0.943824239348585
episode,corridor_bucket,>2.00,498,1462,0.34062927496580025,7,0.014056224899598393,2.1914920179791735,0.943824239348585
attempt,instrument,DE40,1230,7764,0.15842349304482226,3,0.0024390243902439024,2.563158763891959,0.991565163199422
attempt,instrument,FRA40,1191,7764,0.1534003091190108,4,0.0033585222502099076,2.563158763891959,0.991565163199422
attempt,instrument,JPN225,1479,7764,0.19049459041731068,1,0.000676132521974307,2.563158763891959,0.991565163199422
attempt,instrument,US30,1267,7764,0.16318907779495107,4,0.0031570639305445935,2.563158763891959,0.991565163199422
attempt,instrument,US500,1654,7764,0.21303451828954148,6,0.0036275695284159614,2.563158763891959,0.991565163199422
attempt,instrument,USTEC,943,7764,0.12145801133436374,2,0.0021208907741251328,2.563158763891959,0.991565163199422
attempt,direction_label,FROM_ABOVE,3980,7764,0.5126223596084493,10,0.002512562814070352,0.999540239378824,0.999540239378824
attempt,direction_label,FROM_BELOW,3784,7764,0.48737764039155074,10,0.002642706131078224,0.999540239378824,0.999540239378824
attempt,start_region,ABOVE,1414,7764,0.18212261720762493,4,0.002828854314002829,1.660290297778147,0.6422879625197492
attempt,start_region,BELOW,1457,7764,0.18766099948480164,3,0.002059025394646534,1.660290297778147,0.6422879625197492
attempt,start_region,EXTREME_BELOW,13,7764,0.0016743946419371459,0,0.0,1.660290297778147,0.6422879625197492
attempt,start_region,FAR_ABOVE,127,7764,0.0163575476558475,1,0.007874015748031496,1.660290297778147,0.6422879625197492
attempt,start_region,FAR_BELOW,312,7764,0.0401854714064915,2,0.00641025641025641,1.660290297778147,0.6422879625197492
attempt,start_region,MEDIAN_CORE,4441,7764,0.5719989696032973,10,0.002251745102454402,1.660290297778147,0.6422879625197492
attempt,sigma_band,"(-1,-0.5]",1120,7764,0.14425553838227717,3,0.0026785714285714286,1.8456679539441903,0.6574401902098786
attempt,sigma_band,"(-2,-1]",596,7764,0.07676455435342606,2,0.003355704697986577,1.8456679539441903,0.6574401902098786
attempt,sigma_band,"(0.5,1]",1108,7764,0.14270994332818135,3,0.002707581227436823,1.8456679539441903,0.6574401902098786
attempt,sigma_band,"(1,2]",427,7764,0.05499742400824317,2,0.00468384074941452,1.8456679539441903,0.6574401902098786
attempt,sigma_band,<=-2,66,7764,0.008500772797527048,0,0.0,1.8456679539441903,0.6574401902098786
attempt,sigma_band,>2,6,7764,0.0007727975270479134,0,0.0,1.8456679539441903,0.6574401902098786
attempt,sigma_band,CORE,4441,7764,0.5719989696032973,10,0.002251745102454402,1.8456679539441903,0.6574401902098786
attempt,resolution,ACCEPT_AND_FAIL_RETEST,488,7764,0.06285419886656363,0,0.0,2.4097235553364134,0.8032411851121378
attempt,resolution,ACCEPT_AND_HOLD_RETEST,763,7764,0.09827408552292632,0,0.0,2.4097235553364134,0.8032411851121378
attempt,resolution,ACCEPT_THROUGH_NODE,667,7764,0.08590932509015971,0,0.0,2.4097235553364134,0.8032411851121378
attempt,resolution,NODE_RETIRED,889,7764,0.11450283359093251,0,0.0,2.4097235553364134,0.8032411851121378
attempt,resolution,NONE,20,7764,0.002575991756826378,20,1.0,2.4097235553364134,0.8032411851121378
attempt,resolution,RECLAIM_AFTER_BREAK,880,7764,0.11334363730036064,0,0.0,2.4097235553364134,0.8032411851121378
attempt,resolution,REJECT_TO_ORIGIN,3504,7764,0.45131375579598143,0,0.0,2.4097235553364134,0.8032411851121378
attempt,resolution,TIMEOUT,553,7764,0.07122617207624936,0,0.0,2.4097235553364134,0.8032411851121378
attempt,ordinal,1,1174,7764,0.1512107161257084,1,0.0008517887563884157,5.084782771620528,0.7527560999338574
attempt,ordinal,10,227,7764,0.029237506439979393,3,0.013215859030837005,5.084782771620528,0.7527560999338574
