unit,metric,rows,count,missing_count,missing_rate,censored_count,censoring_rate,min,p01,p05,p25,median,p75,p95,p99,max,mean,std
attempt,inside_seconds,7764,7764,0,0.0,20,0.002575991756826378,0.0,0.0,0.0,3.0,24.0,106.0,1437.699999999999,6788.579999999996,14339.0,298.51790314270994,1029.116857775418
attempt,approach_efficiency,7764,7764,0,0.0,20,0.002575991756826378,0.0,0.0,0.0,0.0243326925,0.12280702,0.36026746,1.0,1.0,1.0,0.25559278960973725,0.30723782242351644
attempt,node_width_atr,7764,7764,0,0.0,20,0.002575991756826378,0.0,0.0,0.01687792,0.09584762499999999,1.08726753,4.6866797700000005,11.841692510999978,19.8326377121,35.49407115,3.1126333022900567,4.268125833927986
attempt,node_age_seconds,7764,7764,0,0.0,20,0.002575991756826378,0.0,0.0,3.0,2649.0,15531.0,59856.75,180538.59999999998,272063.8499999999,420196.0,44197.27743431221,62713.35095935827
attempt,start_median_sigma,7764,7764,0,0.0,20,0.002575991756826378,-2.8447666,-1.934206275,-1.380793714,-0.44755401,-0.007927219999999999,0.3876144525,1.0911625744999993,1.6058668419999995,2.46373989,-0.050086840618238024,0.7061287461726606
attempt,node_from_median_sigma,7764,7764,0,0.0,20,0.002575991756826378,-2.4814054,-2.097510658,-1.412015267,-0.4796076375,0.0,0.41323458,1.20788398,1.67084211,2.11281691,-0.047035462958526536,0.7487524694842149
attempt,node_from_cog_sigma,7764,7764,0,0.0,20,0.002575991756826378,-2.34858931,-1.90748191,-1.33036393,-0.41763445,0.150527745,1.23728797,2.41249452,3.4804261203999984,4.83495586,0.4035236663420917,1.1710735354217778
attempt,feature_price_from_median_sigma,7764,7764,0,0.0,20,0.002575991756826378,-2.8447666,-1.934206275,-1.380793714,-0.44755401,-0.007927219999999999,0.3876144525,1.0911625744999993,1.6058668419999995,2.46373989,-0.050086840618238024,0.7061287461726606
attempt,feature_price_from_cog_sigma,7764,7764,0,0.0,20,0.002575991756826378,-2.83439344,-1.8268169126,-1.2180964209999998,-0.400339995,0.143380745,1.1980446125,2.3393765419999997,3.4433514227999997,4.82427444,0.40047228855744454,1.1433585792294436
attempt,feature_cog_median_gap_sigma,7764,7764,0,0.0,20,0.002575991756826378,-4.1892991,-2.80479823,-1.8098408215,-0.88236715,-0.2933766,0.122584515,0.42509585,0.8634213468999999,1.174999,-0.45055912914734675,0.7535254499241026
attempt,feature_regional_median_velocity_sigma,7764,7764,0,0.0,20,0.002575991756826378,-0.83930497,-0.21741488,-0.05098039,0.0,0.0,0.0,0.05375468899999898,0.2115391618,0.84678917,-0.000581778040958269,0.06268075218453299
attempt,feature_regional_cog_velocity_sigma,7764,7764,0,0.0,20,0.002575991756826378,-0.03114889,-0.0097429602,0.0,0.0,0.0,0.0,0.00539183,0.022856708899999984,0.16383064,0.0007131815391550747,0.005806727559083496
attempt,feature_structural_sigma,7764,7764,0,0.0,20,0.002575991756826378,33.87,37.72,43.1345,91.9,298.755,555.96,1694.0,1865.0,2187.0,419.8135046367851,444.5192383189376
attempt,feature_regional_sigma_log_change_per_bar,7764,7764,0,0.0,20,0.002575991756826378,-0.56032476,-0.08833889,-0.036208014,0.0,0.0,0.0,0.002417316499999857,0.05297371,0.47109219,-0.002040966495363215,0.028491143387152935
attempt,corridor_up_atr,7764,7460,304,0.03915507470376095,20,0.002575991756826378,0.0061066,0.12296302419999999,0.2209292945,0.8929882625,1.9777821100000001,4.0895659925,10.45382842,23.08834498339997,65.50884516,3.306266044410188,4.473181784400952
attempt,corridor_down_atr,7764,7486,278,0.03580628541988665,20,0.002575991756826378,0.00697898,0.11129661,0.212746445,0.8985705025,2.1068465950000004,4.34497416,12.054439715,20.75186297,60.2348815,3.5528342856906225,4.620482289578869
transit,distance_atr,628,628,0,0.0,0,0.0,0.13585959,0.2362413757,0.584816651,1.6204192175,3.37954732,6.0391826225,13.837192266499994,25.866292080799997,77.38396939,4.9240295989808915,5.737374360323575
transit,duration_seconds,628,628,0,0.0,0,0.0,0.0,0.0,0.0,35.0,206.0,761.5,6451.699999999974,14700.0,21900.0,1154.9267515923566,2941.9511499664286
transit,duration_bars,628,628,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.949999999999932,49.0,49.0,3.3519108280254777,9.088544387641761
transit,path_length,628,628,0,0.0,0,0.0,0.01,0.015400000000000007,0.1,5.79,42.1,204.82999999999998,2278.064999999999,10003.630000000036,26847.0,554.5875955414012,2231.8072027755616
transit,path_efficiency,628,628,0,0.0,0,0.0,0.00019955,0.0050806858,0.0151968675,0.07040444000000001,0.18481291,0.5493039875,1.0,1.0,1.0,0.34668890482484077,0.3523941947170959
transit,max_adverse_atr,628,628,0,0.0,0,0.0,0.0,0.0,0.0,0.10455352,0.31258476999999996,0.7019725575,1.9510013964999993,3.8241434118000055,8.13618507,0.5626471990286624,0.8115668864883984
transit,start_price_from_median_sigma,628,628,0,0.0,0,0.0,-1.7999386,-1.6787970358,-1.0259690105,-0.3743169275,-0.00778677,0.3024722025,0.8264590829999994,1.621405493800002,1.94482633,-0.03434762888535032,0.6002730839961661
transit,end_price_from_median_sigma,628,628,0,0.0,0,0.0,-1.90310477,-1.6837086696,-0.995272631,-0.3717155,2.153499999999999e-05,0.30284520000000004,0.9835677534999995,1.6249698968000017,1.89518426,-0.02612318791401273,0.6039450563277811
node,lifetime_seconds,2294,2294,0,0.0,217,0.0945945945945946,1.0,2.0,11.0,2100.0,7800.0,42900.0,172801.0,338100.0,428100.0,36702.462510897996,64302.04311398262
node,terminal_width_atr,2294,2294,0,0.0,217,0.0945945945945946,0.0,0.0,0.0153416145,0.09044885750000001,0.11780892500000001,2.9713435599999998,12.277084320999998,21.569752992700007,43.96396396,2.5394555961072367,4.858093706313972
node,terminal_revision,2294,2294,0,0.0,217,0.0945945945945946,1.0,1.0,1.0,12.0,79.5,546.0,2443.4499999999994,5809.35,15090.0,525.8796861377507,1158.8915544113272
node,terminal_family_count,2294,2294,0,0.0,217,0.0945945945945946,1.0,1.0,1.0,2.0,2.0,3.0,5.0,6.0,7.0,2.599389712292938,1.2203463267695827
node,terminal_member_count,2294,2294,0,0.0,217,0.0945945945945946,2.0,2.0,2.0,2.0,2.0,4.0,15.0,26.070000000000164,34.0,4.3666085440278986,4.944378025371097
node,median_distance_sigma,2294,2294,0,0.0,217,0.0945945945945946,-2.99215388,-2.2717271778,-1.7128330305,-0.6351337475000001,-0.034060560000000004,0.40527183,1.3948623294999998,1.8036700562000005,2.51410131,-0.11505880317785529,0.8722372417805997
node,cog_distance_sigma,2294,2294,0,0.0,217,0.0945945945945946,-2.48326933,-1.9916169354,-1.428379753,-0.50363267,0.104556645,1.10466921,2.333204876,3.4688929659000003,4.48194353,0.30253346090235395,1.162625336405802
node,width_sigma,2294,2294,0,0.0,217,0.0945945945945946,0.0,0.0,0.0009424705,0.0044776625,0.009807465,0.17855346,0.6159061049999999,1.1201509706000004,1.63374255,0.13388074026591107,0.2365865416159736
node,evidence_changes,2294,2294,0,0.0,217,0.0945945945945946,0.0,0.0,0.0,0.0,0.0,1.0,6.0,14.0,45.0,1.116826503923278,2.8914577482133157
node,merge_events,2294,2294,0,0.0,217,0.0945945945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1994.0,3.8121185701830864,74.80158380583984
