unit,cross,dimension_1,value_1,dimension_2,value_2,count,censored_count,total,share,censoring_rate
episode,direction_label x resolution,direction_label,FROM_ABOVE,resolution,ACCEPT_AND_FAIL_RETEST,1,0,1462,0.0006839945280437756,0.0
episode,direction_label x resolution,direction_label,FROM_ABOVE,resolution,ACCEPT_AND_HOLD_RETEST,4,0,1462,0.0027359781121751026,0.0
episode,direction_label x resolution,direction_label,FROM_ABOVE,resolution,ACCEPT_THROUGH_NODE,2,0,1462,0.0013679890560875513,0.0
episode,direction_label x resolution,direction_label,FROM_ABOVE,resolution,NODE_RETIRED,472,2,1462,0.3228454172366621,0.00423728813559322
episode,direction_label x resolution,direction_label,FROM_ABOVE,resolution,NONE,1,1,1462,0.0006839945280437756,1.0
episode,direction_label x resolution,direction_label,FROM_ABOVE,resolution,RECLAIM_AFTER_BREAK,18,0,1462,0.012311901504787962,0.0
episode,direction_label x resolution,direction_label,FROM_ABOVE,resolution,REJECT_TO_ORIGIN,5,5,1462,0.003419972640218878,1.0
episode,direction_label x resolution,direction_label,FROM_ABOVE,resolution,RETURN_TO_SOURCE_NODE,12,0,1462,0.008207934336525308,0.0
episode,direction_label x resolution,direction_label,FROM_ABOVE,resolution,TIMEOUT,199,2,1462,0.13611491108071136,0.010050251256281407
episode,direction_label x resolution,direction_label,FROM_ABOVE,resolution,TRANSIT_TO_NEXT_NODE,47,0,1462,0.032147742818057455,0.0
episode,direction_label x resolution,direction_label,FROM_BELOW,resolution,ACCEPT_AND_FAIL_RETEST,7,4,1462,0.0047879616963064295,0.5714285714285714
episode,direction_label x resolution,direction_label,FROM_BELOW,resolution,ACCEPT_AND_HOLD_RETEST,12,0,1462,0.008207934336525308,0.0
episode,direction_label x resolution,direction_label,FROM_BELOW,resolution,ACCEPT_THROUGH_NODE,5,0,1462,0.003419972640218878,0.0
episode,direction_label x resolution,direction_label,FROM_BELOW,resolution,NODE_RETIRED,384,1,1462,0.26265389876880985,0.0026041666666666665
episode,direction_label x resolution,direction_label,FROM_BELOW,resolution,NONE,1,1,1462,0.0006839945280437756,1.0
episode,direction_label x resolution,direction_label,FROM_BELOW,resolution,RECLAIM_AFTER_BREAK,29,0,1462,0.019835841313269494,0.0
episode,direction_label x resolution,direction_label,FROM_BELOW,resolution,REJECT_TO_ORIGIN,8,5,1462,0.005471956224350205,0.625
episode,direction_label x resolution,direction_label,FROM_BELOW,resolution,RETURN_TO_SOURCE_NODE,10,0,1462,0.006839945280437756,0.0
episode,direction_label x resolution,direction_label,FROM_BELOW,resolution,TIMEOUT,201,3,1462,0.1374829001367989,0.014925373134328358
episode,direction_label x resolution,direction_label,FROM_BELOW,resolution,TRANSIT_TO_NEXT_NODE,44,4,1462,0.030095759233926128,0.09090909090909091
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_DOWN,resolution,ACCEPT_AND_HOLD_RETEST,8,0,1462,0.005471956224350205,0.0
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_DOWN,resolution,ACCEPT_THROUGH_NODE,3,0,1462,0.002051983584131327,0.0
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_DOWN,resolution,NODE_RETIRED,167,0,1462,0.11422708618331054,0.0
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_DOWN,resolution,RECLAIM_AFTER_BREAK,8,0,1462,0.005471956224350205,0.0
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_DOWN,resolution,REJECT_TO_ORIGIN,2,2,1462,0.0013679890560875513,1.0
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_DOWN,resolution,RETURN_TO_SOURCE_NODE,4,0,1462,0.0027359781121751026,0.0
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_DOWN,resolution,TIMEOUT,61,0,1462,0.041723666210670314,0.0
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_DOWN,resolution,TRANSIT_TO_NEXT_NODE,18,0,1462,0.012311901504787962,0.0
episode,selection_class x resolution,selection_class,DIRECTIONAL_EXPANSION_UP,resolution,ACCEPT_AND_FAIL_RETEST,1,1,1462,0.0006839945280437756,1.0
