offset_minutes	aligned_minutes	aligned_returns	pearson	nonzero_sign_pairs	sign_agreement
300	1138	1135	0.026583171150924192	1066	0.5168855534709194
315	1123	1120	0.010111895459090218	1051	0.5156993339676499
330	1108	1105	-0.030832826543570245	1043	0.5196548418024928
345	1093	1090	0.004480056479979899	1027	0.4936708860759494
360	1078	1075	0.01646858530119841	1015	0.49556650246305417
375	1064	1062	0.02502253777368446	1001	0.5224775224775224
390	1049	1047	0.02497893271345947	990	0.509090909090909
405	1034	1032	0.045548613551996214	976	0.5133196721311475
420	1019	1017	0.02019641665492165	962	0.4979209979209979
435	1004	1002	0.00232748149721446	949	0.5089567966280295
450	989	987	-0.03691040793003893	937	0.4759871931696905
465	974	972	0.009495285178996098	925	0.5091891891891892
480	959	957	0.0038188192634602733	911	0.4972557628979144
495	944	942	0.06597900571546793	898	0.5412026726057907
510	929	927	-0.003606534910419707	887	0.4915445321307779
525	914	912	-0.0004856729170027517	873	0.4845360824742268
540	899	897	0.033522699475863435	858	0.5233100233100233
555	884	882	-0.05530280342634214	843	0.48279952550415184
570	869	867	0.0029193711005428614	829	0.49095295536791317
585	854	852	0.011834088827342978	816	0.48284313725490197
600	839	837	-0.036789546580502354	803	0.5043586550435866
615	824	822	-0.06927009275342842	788	0.467005076142132
630	809	807	0.042540062902858715	773	0.49935316946959896
645	794	792	-0.04271884706167421	759	0.48221343873517786
660	779	777	-0.006446012569312263	743	0.48721399730820997
675	764	762	-0.025716204940912854	729	0.4993141289437586
690	749	747	-0.016691485251223437	713	0.4950911640953717
705	734	732	0.0006018285638219682	699	0.525035765379113
720	719	717	-0.029713827981850304	686	0.4912536443148688
735	704	702	0.005526028277307182	672	0.49702380952380953
750	689	687	0.05492784992567021	657	0.5159817351598174
765	674	672	-0.018167275335767855	644	0.5062111801242236
780	659	657	-0.007614284645276812	630	0.5158730158730159
795	644	642	0.021031391758413936	616	0.4967532467532468
810	629	627	-0.06212434622545221	603	0.46434494195688225
825	614	612	0.015285270267267718	589	0.5178268251273345
840	599	597	-0.027461176591638083	576	0.5069444444444444
