object_kind	run_key	canonical_instrument	object_id	terminal_reason_code	censored	compression_summary_family_id	compression_shape_family_id	compression_hybrid_family_id	expansion_summary_family_id	expansion_shape_family_id	expansion_hybrid_family_id	structural_stratum	terminal_bridge_receipt_id
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	4	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C1	C1	C2	REGION_-1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::4::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	5	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C1	C1	C2	REGION_-1|OPEN_CORRIDOR	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::5::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	6	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C3	C1	C2	REGION_-1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::6::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	7	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C1	C1	C2	REGION_0|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::7::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	8	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C1	C1	C2	REGION_-1|OPEN_CORRIDOR	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::8::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	9	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C3	C1	C2	REGION_-1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::9::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	10	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C1	C2	C2	REGION_-1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::10::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	11	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C1	C2	C2	REGION_-1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::11::TERMINAL
EXPANSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	DE40	12	4	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	C3	C2	C1	REGION_-1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::EXPANSION::12::TERMINAL
COMPRESSION	RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795	DE40	1	1	0	C2	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	REGION_1|NODE_CONTACT	bridge::RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::COMPRESSION::1::TERMINAL
