node_key	node_type	local_label	authority
family_system::COMPRESSION::hybrid_mirrored_v1::5eb5a2741a3c0de08701438efe24f1326da1bc298f2f1bdee875a56d69315599	TRAJECTORY_FAMILY_SYSTEM	hybrid_mirrored_v1	GATE15_EXPLORATORY
family_system::COMPRESSION::resampled_shape_v1::97373352c79af3746b7718cd3cc03c3880ee3f1f124aba1f415e4970f807f17b	TRAJECTORY_FAMILY_SYSTEM	resampled_shape_v1	GATE15_EXPLORATORY
family_system::COMPRESSION::summary_geometry_v1::297001a37593a9f07f114956e146320e18f378912d6e483f8c6ea92499bc2c5e	TRAJECTORY_FAMILY_SYSTEM	summary_geometry_v1	GATE15_EXPLORATORY
family_system::EXPANSION::hybrid_mirrored_v1::aec22711ee5d4716189e7ee5fdb6f66806372f7673db38195f12c52920b27f37	TRAJECTORY_FAMILY_SYSTEM	hybrid_mirrored_v1	GATE15_EXPLORATORY
family_system::EXPANSION::resampled_shape_v1::58b56f65841117821e44b18d673cfbb724cd5634db5b5747ed1942b1ec4531e1	TRAJECTORY_FAMILY_SYSTEM	resampled_shape_v1	GATE15_EXPLORATORY
family_system::EXPANSION::summary_geometry_v1::ab7a0b1ee23b4f15713a65550bc59230eb702d8e1e3842b025330ae51207cd92	TRAJECTORY_FAMILY_SYSTEM	summary_geometry_v1	GATE15_EXPLORATORY
master_node::RG3_DE40_PERIOD_M5_1783900800_1784505600_9564959796063117251::6753498034173827240	MASTER_STRUCTURAL_NODE	6753498034173827240	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::11394679349804130198	MASTER_STRUCTURAL_NODE	11394679349804130198	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::13269914905463477887	MASTER_STRUCTURAL_NODE	13269914905463477887	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::13858199556021560829	MASTER_STRUCTURAL_NODE	13858199556021560829	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::14046651495409946480	MASTER_STRUCTURAL_NODE	14046651495409946480	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::14086590488048836151	MASTER_STRUCTURAL_NODE	14086590488048836151	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::14704176738950283564	MASTER_STRUCTURAL_NODE	14704176738950283564	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::17063009193869037363	MASTER_STRUCTURAL_NODE	17063009193869037363	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::17554460877304148839	MASTER_STRUCTURAL_NODE	17554460877304148839	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::18335460524705327245	MASTER_STRUCTURAL_NODE	18335460524705327245	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::2539277874576681624	MASTER_STRUCTURAL_NODE	2539277874576681624	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::7637125548747913909	MASTER_STRUCTURAL_NODE	7637125548747913909	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1785715200_1786060800_2606365987753202252::8060762296481483341	MASTER_STRUCTURAL_NODE	8060762296481483341	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::10218633277297219389	MASTER_STRUCTURAL_NODE	10218633277297219389	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::11483930649120042315	MASTER_STRUCTURAL_NODE	11483930649120042315	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::15012823538517343378	MASTER_STRUCTURAL_NODE	15012823538517343378	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::5916704447264882908	MASTER_STRUCTURAL_NODE	5916704447264882908	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::6894482813778976256	MASTER_STRUCTURAL_NODE	6894482813778976256	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::8431262526092927552	MASTER_STRUCTURAL_NODE	8431262526092927552	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::9228698311265373657	MASTER_STRUCTURAL_NODE	9228698311265373657	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::9532411142910443397	MASTER_STRUCTURAL_NODE	9532411142910443397	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::969610327141001968	MASTER_STRUCTURAL_NODE	969610327141001968	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1768176000_1768780800_7648442211186610174::9741162832149058834	MASTER_STRUCTURAL_NODE	9741162832149058834	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::10154437491847168749	MASTER_STRUCTURAL_NODE	10154437491847168749	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::10744967365740657237	MASTER_STRUCTURAL_NODE	10744967365740657237	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::12211946323013281719	MASTER_STRUCTURAL_NODE	12211946323013281719	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::12258588138628581440	MASTER_STRUCTURAL_NODE	12258588138628581440	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::13566818696471691519	MASTER_STRUCTURAL_NODE	13566818696471691519	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::1456397364753883607	MASTER_STRUCTURAL_NODE	1456397364753883607	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::14648159868779704693	MASTER_STRUCTURAL_NODE	14648159868779704693	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::15427038579450037507	MASTER_STRUCTURAL_NODE	15427038579450037507	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::15653595539987697137	MASTER_STRUCTURAL_NODE	15653595539987697137	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::16185237817461066158	MASTER_STRUCTURAL_NODE	16185237817461066158	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::16513342514705850254	MASTER_STRUCTURAL_NODE	16513342514705850254	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::17179059820227426508	MASTER_STRUCTURAL_NODE	17179059820227426508	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::18028177725737789304	MASTER_STRUCTURAL_NODE	18028177725737789304	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::4849241671479501824	MASTER_STRUCTURAL_NODE	4849241671479501824	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::7340899731373794293	MASTER_STRUCTURAL_NODE	7340899731373794293	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::8256354646383319240	MASTER_STRUCTURAL_NODE	8256354646383319240	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670::9514010685051890066	MASTER_STRUCTURAL_NODE	9514010685051890066	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1774224000_1774828800_14575658576911331190::10829202565898297568	MASTER_STRUCTURAL_NODE	10829202565898297568	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1774224000_1774828800_14575658576911331190::11496690974191262883	MASTER_STRUCTURAL_NODE	11496690974191262883	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1774224000_1774828800_14575658576911331190::14207860246630168046	MASTER_STRUCTURAL_NODE	14207860246630168046	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1774224000_1774828800_14575658576911331190::14892229673648668392	MASTER_STRUCTURAL_NODE	14892229673648668392	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1774224000_1774828800_14575658576911331190::16973878993453264349	MASTER_STRUCTURAL_NODE	16973878993453264349	RG3_MASTER_POINT_STATE
master_node::RG3_FRA40_PERIOD_M5_1774224000_1774828800_14575658576911331190::16994510626001317513	MASTER_STRUCTURAL_NODE	16994510626001317513	RG3_MASTER_POINT_STATE
