object_kind	run_key	object_id	object_start_time	object_end_time	intersection_status	authority_status	overlap_start	overlap_end	overlap_seconds	fraction_of_object_lifetime	fraction_of_episode_lifetime
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	3	1774323600	1774341900	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	4	1774392000	1774407300	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	5	1774411500	1774421100	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	6	1774421700	1774434300	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	7	1774463100	1774477800	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	8	1774479300	1774500900	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	9	1774501800	1774511100	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	10	1774548900	1774561200	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	11	1774569600	1774579800	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
COMPRESSION	RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005	12	1774581000	1774591200	NOT_EVALUABLE	AUCTION_INTERVAL_AUTHORITY_NOT_CO_COLLECTED_IN_RG3	\N	\N	\N	\N	\N
